id,tweet_id,customer_handle,customer_text,ground_truth_intent,ground_truth_decision,escalation_category,escalation_reason,difficulty,annotator_notes,human_total_quality,human_reference_reply
GOLD-011,13888,@118918,@AmazonHelp I have visited multiple times. why would a sc change uts policy to meet ur unreasonable demands? this issue is ongoing since 1.5 months.,GENERAL_INQUIRY_FEEDBACK,AUTO_HANDLE,NONE,"General positive feedback, praise, or inquiry on operating hours.",Standard,Customer expressing appreciation or asking high-level operational question. Standard cordial acknowledgement.,5,"@118918 If the manufacturer refuses to honor warranty on a device, you shall receive a service denial letter for the same. ^HK"
GOLD-012,13892,@118918,"@AmazonHelp @115851 @115821 If iball declines my request, I cannot threaten @79087 into providing one.",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,3,@118918 without a service denial letter. Kindly try visiting your nearest service center to report it and keep us posted. 2/2 ^AB
GOLD-013,13900,@118920,@AmazonHelp is there a way to know if the Amazon gift cards I send are being used?,GENERAL_INQUIRY_FEEDBACK,AUTO_HANDLE,NONE,"General positive feedback, praise, or inquiry on operating hours.",Standard,Customer expressing appreciation or asking high-level operational question. Standard cordial acknowledgement.,5,@118920 You would only be able to confirm gift card balances on the account it is redeemed on. ^JP
GOLD-014,13902,@118921,@AmazonHelp Thanks! I will.,GENERAL_INQUIRY_FEEDBACK,AUTO_HANDLE,NONE,"General positive feedback, praise, or inquiry on operating hours.",Standard,Customer expressing appreciation or asking high-level operational question. Standard cordial acknowledgement.,5,@118921 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-015,13907,@118924,@AmazonHelp Update ??? What your internal investigation repors tell you ??,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,4,"@118924 Sorry for this trouble. If the details were shared, you must've received a correspondence from us. Please check and reply. ^HD"
GOLD-016,13909,@118924,@AmazonHelp So what have you decided my dear @115850 @115821 ?? By this time you should've known the entire issue.I'm expecting a response from you,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@118924 We have received your details. We are working on it and will get back to you with an update at the earliest. ^HR
GOLD-017,13916,@118925,"@AmazonHelp Worse part, customer support thought it was coming today too, which I reached out at 4:30 pm",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,"@118925 I'm sorry for the inconvenience. When you reached out to us, what options or insight did we provide? ^GM"
GOLD-018,13921,@118925,@AmazonHelp I talked on the phone to someone who offered 10 percent off but that isn't on the account yet.  Still don't know delivery date.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@118925 Which carrier was assigned to deliver your package today? ^TN
GOLD-019,13924,@118925,@AmazonHelp It doesn't say.  It shows it hasn't shipped yet.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@118925 Did we ask you to wait a certain date before we could offer alternative options? ^EZ
GOLD-020,13926,@118925,@AmazonHelp Nothing on my order on your web site.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,"@118925 Late order usually arrive the next business day. If your order hasn't arrived by 8:00 PM tomorrow, please let us know. ^LR"
GOLD-021,13929,@118925,@AmazonHelp Got emails with discount on future order and one with a new ship date of Thursday. Not holding my breath.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@118925 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-022,13922,@118925,@AmazonHelp Nothing. Chat at 4:30 said to contact after 8:00 chat did give answers that didn't make sense.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,4,@118925 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-023,13918,@118925,"@AmazonHelp No, it still says arriving today.  I should have been notified as soon as the delivery date changed.",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,3,@118925 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-024,14011,@118951,"@AmazonHelp Please simply answer my question.  I am not an AmazonFresh customer, just a condominium unit owner inconvenienced by UR customers  &amp;trying 2 figure out how we can all accommodate one another.  Y R U making this so complicated? Direct message me with UR contact info.",GENERAL_INQUIRY_FEEDBACK,AUTO_HANDLE,NONE,"General positive feedback, praise, or inquiry on operating hours.",Standard,Customer expressing appreciation or asking high-level operational question. Standard cordial acknowledgement.,5,"@118951 We'll ask customers to leave their totes out for pickup. However, they shouldn't be left for 10 or more days awaiting pickup. For security, we're unable to DM personal details. Once we receive your information at the link we've referenced, we can help sort this. ^RA"
GOLD-025,14014,@118951,"@AmazonHelp Who's security?  UR asking 4 MY personal details.  Surely U have company phone #s that aren't ""personal.""  This is absurd. I'm TRYING 2 work w/U people. Y do U make it so hard?  May I be referred to a mgr who isn't afraid 2 speak w/an intelligent, reasonable woman 2 work out sols",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@118951 We cannot accommodate this request via Twitter. Please send us your details using the link provided by FR. ^GR
GOLD-026,14016,@118951,"@AmazonHelp I wonder, will UR uber boss #BenHartman get copied on this thread?  Gotta say, I'm not a customer at the moment, only impacted by UR customers. This customer service experience greatly disinclines me 2 even consider #AmazonFresh.  Maybe Mr. Hartman could change my mind.  I dunno.",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@118951 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-027,14017,@118951,"@AmazonHelp #AmazonFresh, Just send me the damned written protocol given customers 4 the disposition of the delivery totes post-delivery.  I'd hoped 2 have a productive discussion 4 accommodating this service in Urban areas.  Guess not.  Your totes'll B going in2 the trash. U must B Trumpery",GENERAL_INQUIRY_FEEDBACK,ESCALATE_TO_HUMAN,OUT_OF_SCOPE_OR_LOW_CONFIDENCE,Non-standard physical delivery tote retrieval dispute in residential building.,Ambiguous / Multi-intent,Unusual physical logistics dispute regarding courier delivery totes left in condo lobby. Outside standard bot domain.,3,@118951 We'd like to look into this right away. Please send us a direct message with your details at amzn.to/help-dm so we can assist. ^KA
GOLD-028,14012,@118951,"@AmazonHelp Don't be silly.  Read the Tweet!  I NEED 2 KNOW HOW U INSTRUCT CUSTOMERS.

What is the plan?  We've tenants who think they've the rite 2 store empty AF totes in the common area presumably awaiting PickUp 10+ days is 10 days longer that the small front hall common area can handle.",RETURN_REFUND_REPLACEMENT,AUTO_HANDLE,NONE,"Standard return authorization, label-free QR drop-off, or replacement request.",Standard,Standard customer return or size exchange within the 30-day window. Self-service Returns Center portal is optimal.,5,@118951 Please provide your information in the link FR provided and we'll have a team member look into this personally and reach out to you. I'm sorry for any inconvenience. ^HS
GOLD-029,14020,@118951,@AmazonHelp We have 2 work 2gether to accommodate UR new service.  I simply need 2 know how exactly U instruct AF customers re disposition of the large green insulated carriers.  Not a difficult question--need the written instrux.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,4,@118951 I would like to have a team member look into getting the totes picked up for you! Please add your details here: https://t.co/MoFmdEXzbY so we can help out with this! Keep us updated on the status! ^FR
GOLD-030,14280,@119036,@AmazonHelp Today; 1st November. Or I wouldn't have ordered. I needed them to arrive at mums today so she can bring to me urgently in hospital tonight.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119036 I can understand your frustration. Please reach out to us here to go over available options: https://t.co/ju0HEJTlrg ^CL
GOLD-031,14283,@119036,@AmazonHelp Thank you - done.,GENERAL_INQUIRY_FEEDBACK,AUTO_HANDLE,NONE,"General positive feedback, praise, or inquiry on operating hours.",Standard,Customer expressing appreciation or asking high-level operational question. Standard cordial acknowledgement.,5,@119036 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-032,14281,@119036,"Placed order today, said delivery would be Wed but just received email saying it'll be Thurs now? I'm a prime customer @AmazonHelp. Unhappy!",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119036 I'm so sorry for the frustration! What was the date given in the original confirmation e-mail: https://t.co/SsPOz2ryIS? ^DG
GOLD-033,14285,@119037,@AmazonHelp I found out that when I subbed to a channel on Twitch using Amazon pay it moved ALL my subscriptions to Amazon Pay. A heads up would be nice,ACCOUNT_SECURITY_BILLING,AUTO_HANDLE,NONE,Explanation of routine authorization hold or digital payment balance.,Standard,Standard explanation of temporary $1 authorization holds or gift card balance check.,5,@119037 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-034,14293,@119041,@AmazonHelp Yes. You definitely missed my delivery date. Twice. Also your call center staff seems to have no understanding of how mail delivery works.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,3,@119041 I certainly understand your frustration! Who was the carrier for these orders? Please check here: https://t.co/Y5jpI9gRhE ^BE
GOLD-035,14296,@119041,@AmazonHelp How do I speak with a manager who actually can answer questions about Amazon (AMZL US) logistics not from a call center script?,AGENT_ESCALATION_COMPLAINT,ESCALATE_TO_HUMAN,REPEAT_UNRESOLVED_CONTACT,Multiple failed contacts or persistent deadlock with front-line support.,High Sarcasm / Frustration,Customer has contacted support repeatedly without resolution. Requires Tier-2 supervisor intervention to break contact loop.,3,@119041 We'd like to look into this right away. Please send us a direct message with your details at amzn.to/help-dm so we can assist. ^KA
GOLD-036,14297,@119041,@AmazonHelp The carrier in both instances has been Amazon. Service has been awful once @115821 started doing the deliveries.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,4,@119041 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-037,14298,@119041,@AmazonHelp @115821 consider leaving the delivery of packages to the experts at @115817 or @81. Obvious decline in service when it’s @115821 logistics.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119041 We'd like to take a closer look to see what we can do. Please reach out with more information here: https://t.co/AdBZ9CgtFD ^DG
GOLD-038,14300,@119041,"@AmazonHelp Just completed form. Would be great to speak with someone able to solve the problem, instead of just offering 1 month of free prime.",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119041 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-039,14302,@119043,@AmazonHelp @119042 Thank you! Solved 2 problems with coustomer service. I LOVE Amazon. Super helpful. 👍👍,GENERAL_INQUIRY_FEEDBACK,AUTO_HANDLE,NONE,"General positive feedback, praise, or inquiry on operating hours.",Standard,Customer expressing appreciation or asking high-level operational question. Standard cordial acknowledgement.,5,@119043 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-040,14303,@119042,"@AmazonHelp ordered what was on the box for my sister’s wedding gift, that’s what came out of the box. What gives?! https://t.co/8jX9A0Ipcu",PRODUCT_DEFECT_DAMAGE,AUTO_HANDLE,NONE,Physical merchandise defect upon delivery. Direct customer to Online Returns Center for replacement.,Standard,Merchandise arrived damaged or defective. Standard self-service replacement authorization portal handles immediately.,5,@119042 I'm sorry for the trouble! We'd like to review available options with you. Please reach out to us here:  https://t.co/hApLpMlfHN ^LJ
GOLD-041,17182,@119790,@AmazonHelp Yes thanks all good!,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119790 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-042,17183,@119790,"'Hey @AmazonHelp i haven't received my ""delivered"" order.' 
'Did you check around your house' lmao https://t.co/w6FRcwmoFX",ORDER_DELIVERY_ISSUE,ESCALATE_TO_HUMAN,FINANCIAL_OR_CARRIER_DISPUTE,Package scanned as delivered but reported missing/stolen from premises; requires carrier GPS audit.,High Sarcasm / Frustration,"Carrier GPS delivery scan dispute or porch theft. While standard self-service advises 36-hr wait, missing parcel after delivery scan requires carrier claim investigation.",4,@119790 I'm sorry you didn't receive your order. Did our customer service agent provide a solution for you? ^SE
GOLD-043,17186,@119791,@AmazonHelp Kindly share my contact number 9800019281 to ur team to contact me,ACCOUNT_SECURITY_BILLING,ESCALATE_TO_HUMAN,PII_OR_ACCOUNT_SECURITY,Customer posted 10-digit telephone number publicly on Twitter. Mandatory escalation and privacy deletion warning.,Noisy / Slang / Typo,Explicit PII disclosure: Customer published personal contact number (9800019281) in public feed. Strict Amazon security protocol requires immediate routing to secure DM and customer warning to delete public tweet.,4,"@119791 Also, please don't provide your contact details as its personal info. Our Twitter page is visible to public. 2/2 ^AB"
GOLD-044,17190,@119791,@AmazonHelp See after getting amount it happens that eveyone become unable in assisting.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,"@119791 Due to which we do not have an option to call you back, please use the link provided earlier to request a call back. (2/2) ^SI"
GOLD-045,17193,@119791,@AmazonHelp Thats why i writing here that rest of the people shd know about your services and how you r making fool on name of prime,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,3,@119791 further assistance. Appreciate your understanding. (2/2) ^KA
GOLD-046,17196,@119791,"@AmazonHelp I dont need to contact u now, it is as mistake take that i paid for Prime.",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119791 out to our team using the link shared earlier. (2/2) ^GK
GOLD-047,17199,@119791,@AmazonHelp I will not contact ur supoort team.,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,2,@119791 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-048,17200,@119791,@AmazonHelp Kindly note i will not received or accept my last order. I have choosen COD but due bad service of Prime i will not accept,ORDER_DELIVERY_ISSUE,ESCALATE_TO_HUMAN,FINANCIAL_OR_CARRIER_DISPUTE,Package scanned as delivered but reported missing/stolen from premises; requires carrier GPS audit.,Ambiguous / Multi-intent,"Carrier GPS delivery scan dispute or porch theft. While standard self-service advises 36-hr wait, missing parcel after delivery scan requires carrier claim investigation.",4,@119791 provide your details here:  https://t.co/beaaDm0muc &amp; we'll get this sorted.(2/2)^SF
GOLD-049,17203,@119791,@AmazonHelp I dont want to change my order but will not accept. Order # 403-3917499-2913904,ACCOUNT_SECURITY_BILLING,ESCALATE_TO_HUMAN,PII_OR_ACCOUNT_SECURITY,Customer tweeted full Amazon Order ID publicly. Requires DM handoff to protect transaction privacy.,Noisy / Slang / Typo,Order ID published in public domain. Agent must warn customer not to share private order numbers publicly and transfer to DM.,4,@119791 to you. Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. 2/2 ^SH
GOLD-050,17187,@119791,@AmazonHelp Kindly return my prime membership amount,RETURN_REFUND_REPLACEMENT,AUTO_HANDLE,NONE,"Standard return authorization, label-free QR drop-off, or replacement request.",Standard,Standard customer return or size exchange within the 30-day window. Self-service Returns Center portal is optimal.,5,@119791 Please connect with our support team here: https://t.co/2t6DQoUmNZ for further assistance on it. ^RW
GOLD-051,17207,@119791,@AmazonHelp When i was not a member everything was under gaurantied delivery and once i paid for membership facility is limited,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119791 We will consider this as feedback and ensure to pass it on internally for improvements. ^RW
GOLD-052,17209,@119791,@AmazonHelp After prime membership gaurantied delivery option has vanished now,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,"@119791 If the factors do not provide the feasibility of a guaranteed delivery, the option will not be available. (2/2) ^ZH"
GOLD-053,17212,@119791,"@AmazonHelp No use of prime membership, return my money",RETURN_REFUND_REPLACEMENT,AUTO_HANDLE,NONE,"Standard return authorization, label-free QR drop-off, or replacement request.",Standard,Standard customer return or size exchange within the 30-day window. Self-service Returns Center portal is optimal.,5,"@119791 Could you please confirm, if we've missed the estimated delivery date? ^AG"
GOLD-054,17214,@119791,@AmazonHelp Pathetic reply by your caller,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119791 Did we happen to miss the estimated delivery date? ^AG
GOLD-055,17220,@119793,@AmazonHelp None of your links are taking me to a solution. Been after this since 3 days. Most pathetic service ever. You guys shall call me ASAP! (1/2),AGENT_ESCALATION_COMPLAINT,ESCALATE_TO_HUMAN,SEVERE_SENTIMENT_OR_LEGAL,"Severe customer hostility, accusations of fraud/deceptive practices, or legal/regulatory threats.",High Sarcasm / Frustration,Severe brand-risk escalations or explicit legal threats. Bot deflection strictly forbidden to avoid regulatory or PR fallout.,4,@119793 Please add an email address to your account and then continue to fill the form. Appreciate your patience. ^RW
GOLD-056,17222,@119793,@AmazonHelp Kindly send me a direct message so that I can revert back with my phone number and expect a call SOON! (2/2),ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,3,@119793 You can check the latest updates on your order and track delivery directly in Your Orders: amzn.to/track-package. Let us know if you need anything else! ^SM
GOLD-057,17221,@119793,@AmazonHelp This form also has a tab which asks for the email address associated with my Amazon account but there is NONE. How do I fill in that? Urghh,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,4,@119793 select 'More order issues' &gt; choose from chat/phone/email we'll be glad to help. (3/3) ^KA
GOLD-058,17227,@119793,"@AmazonHelp This is very irritating. When I request a call, each time on the call it says, you don't have any order. For more info visit website. Poor!",ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119793 I apologize for this. Request you to share the details using this link: https://t.co/cQVomR1pWz and we'll look into it. ^SK
GOLD-059,17229,@119793,"@AmazonHelp I am unable to drop you a mail through this link as there's no email id associated with this account, it's a mobile account. Facing trouble.",ACCOUNT_SECURITY_BILLING,ESCALATE_TO_HUMAN,PII_OR_ACCOUNT_SECURITY,Mobile-only login lockout preventing password reset.,Ambiguous / Multi-intent,Customer has duplicate or mobile-only credentials. Self-service password reset fails; requires agent callback.,3,@119793 Please log into your account using your mobile number and request a call back from us. We'll reach out to you and help. ^HK
GOLD-060,17233,@119794,@AmazonHelp I have replied to the mail also check it and provide some useful reply,ORDER_DELIVERY_ISSUE,AUTO_HANDLE,NONE,Standard in-transit carrier tracking and estimated delivery date self-service inquiry.,Standard,Routine package delivery status inquiry. Live GPS carrier tracking available directly via Your Orders portal.,5,@119794 Thank you for confirming. You should hear an update from us soon. Keep an eye on your mailbox. ^MP
